"","id.yr.season","study","tag","id","DateTime","long","lat","NSD","ND","utm.e","utm.n","step_dist","home_dist","cumul_dist","time_diff","speed","Day","date","Year","Month","Hour","id.yr","season"
"1","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-18T12:00:00Z",-7.957,16.98867,8234797,2869.634,-2696.892,2130.027,18.5648594881307,99.9732492455812,5040.17376183812,14,1.32606139200934,18,2018-03-18 12:00:00,2018,3,12,"2HN_2018","spring"
"7","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-19T12:00:00Z",-8.15367,17.792,7713291,2777.281,-2703.697,2232.91,18.6015472349698,189.993675120734,5141.68360679699,14,1.32868194535499,19,2018-03-19 12:00:00,2018,3,12,"2HN_2018","spring"
"13","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-20T12:00:00Z",-9.041,18.9525,7090045,2662.714,-2782.541,2394.843,2.88949801727785,345.776679997986,5306.53770782938,14,0.206392715519846,20,2018-03-20 12:00:00,2018,3,12,"2HN_2018","spring"
"19","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-21T12:00:00Z",-8.84833,19.67733,6599148,2568.881,-2742.925,2479.921,15.4535224672743,411.144146687148,5430.34669583732,14,1.10382303337674,21,2018-03-21 12:00:00,2018,3,12,"2HN_2018","spring"
"25","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-22T12:00:00Z",-8.05067,19.693,6470650,2543.747,-2649.835,2464.179,0.764339973994374,392.517173334357,5521.37463146918,14,0.0545957124281696,22,2018-03-22 12:00:00,2018,3,12,"2HN_2018","spring"
"31","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-23T12:00:00Z",-8.29117,19.864,6399611,2529.745,-2673.751,2490.392,27.1434675547834,415.39718340071,5553.36027740472,14,1.93881911105596,23,2018-03-23 12:00:00,2018,3,12,"2HN_2018","spring"
"37","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-24T12:00:00Z",-10.14967,22.17183,5351297,2313.287,-2828.669,2818.646,7.92199043512917,717.761388074769,5875.44060208052,14,0.565856459652084,24,2018-03-24 12:00:00,2018,3,12,"2HN_2018","spring"
"43","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-25T13:00:00Z",-8.195,23.9545,4139319,2034.532,-2558.808,2985.578,62.3618765866984,863.344551469025,6183.79757076983,15,4.15745843911323,25,2018-03-25 13:00:00,2018,3,13,"2HN_2018","spring"
"49","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-26T12:00:00Z",-5.91033,25.50167,3225156,1795.872,-2267.951,3114.932,1.11802268561192,1045.7577494251,6475.2500900149,14,0.0798587632579945,26,2018-03-26 12:00:00,2018,3,12,"2HN_2018","spring"
"55","2HN_2018_spring","grefa-spain",137397,"2HN","2018-03-27T12:00:00Z",-6.90717,27.49617,2490363,1578.088,-2319.461,3375.815,27.9334875292128,1254.65978154342,6747.0942435946,14,1.99524910922949,27,2018-03-27 12:00:00,2018,3,12,"2HN_2018","spring"
