country,subpopulation,id.year.season,ID,year,season,full_migration,agedeploy,agemigr,totaldistkm,cumulativedistkm,straightness,durationdays,julian_start,julian_end,speed
Spain,West,X2HN_2015_fall,X2HN,2015,fall,y,1,1,3031.4619722434,4371.0530025581,0.693531277353369,34,253,287,128.560382428179
Spain,West,X2HN_2018_fall,X2HN,2018,fall,y,1,4,2771.49339376255,3090.87894933095,0.896668371423109,21,244,265,147.184711872902
Spain,West,X2HN_2018_spring,X2HN,2018,spring,y,1,4,2870.97088907773,5678.78018445469,0.50556119374665,48,77,125,118.307920509473
Spain,West,X95N_2018_fall,X95N,2018,fall,y,6,6,2779.92803252622,2831.73259907073,0.981705699697241,12,252,264,235.977716589228
Spain,West,X95P_2018_fall,X95P,2018,fall,y,1,1,3051.71499627649,4086.36040590713,0.746805150095185,43,266,309,95.0316373466774
Spain,West,X95R_2016_fall,X95R,2016,fall,y,1,1,2928.77478166072,3707.90657321639,0.78987286325291,24,251,275,154.49610721735
Spain,West,X9FH_2017_fall,X9FH,2017,fall,y,1,1,3020.66865805136,3791.97983881734,0.796594071289541,44,281,325,86.1813599731214
Spain,West,X9FJ_2017_fall,X9FJ,2017,fall,y,1,1,2845.52732511276,3927.52719853995,0.724508623688356,37,224,261,106.149383744323
Spain,West,A75657_2007_fall,A75657,2007,fall,y,6,6,2798.59518024301,3626.48912726375,0.771709243301827,17,251,268,213.322889839044
Spain,West,A75657_2008_fall,A75657,2008,fall,y,6,6,2800.20769060157,3200.66138237131,0.874884080529302,11,246,257,290.96921657921
Spain,West,A75657_2008_spring,A75657,2008,spring,y,6,6,2854.47403875558,3148.75448892843,0.906540681019245,13,61,74,242.211883763725
Spain,West,A75657_2009_fall,A75657,2009,fall,y,6,6,2871.20523944587,3212.29566660884,0.893817237713037,16,258,274,200.768479163053
Spain,West,A75657_2009_spring,A75657,2009,spring,y,6,6,2846.99157591438,3127.44252154832,0.910325787380067,22,54,76,142.156478252196
Spain,West,A75657_2010_fall,A75657,2010,fall,y,6,6,2819.06349287164,3166.44815130846,0.890292011162959,14,253,267,226.174867950604
Spain,West,A75657_2010_spring,A75657,2010,spring,y,6,6,2941.02983243885,3191.38887113472,0.921551697770115,21,62,83,151.970898625463
Spain,West,A75657_2011_fall,A75657,2011,fall,y,6,6,2770.12891664644,3187.97804035385,0.868929735895849,11,248,259,289.816185486714
