id.yr.season,start_mig_EXP,end_mig_EXP,study,tag,id,N_locs,start_mig,end_mig,START_DIFF,END_DIFF
2HN_2015_fall,2015-09-10T12:00:00Z,2015-10-14T19:00:00Z,grefa-spain,137397,2HN,633,2015-07-29T16:00:00Z,2015-11-16T21:00:00Z,43.5416666666667,-32.2083333333333
A75657_2007_fall,2007-09-08T12:00:00Z,2007-09-25T14:00:00Z,terra.natura-spain,75657,A75657,1185,2007-09-08T00:00:00Z,2007-11-20T23:00:00Z,0.541666666666667,-55.4166666666667
A75657_2008_fall,2008-09-02T12:00:00Z,2008-09-13T00:00:00Z,terra.natura-spain,75657,A75657,1397,2008-09-02T19:41:08.998837Z,2008-12-31T23:00:00Z,0.541666666666667,-109
A75657_2008_spring,2008-03-01T13:00:00Z,2008-03-14T17:00:00Z,terra.natura-spain,75657,A75657,929,2008-02-29T04:37:39.323439Z,2008-03-19T14:02:20.082992Z,1.54166666666667,-4.29166666666667
A75657_2009_fall,2009-09-15T14:00:00Z,2009-10-01T16:00:00Z,terra.natura-spain,75657,A75657,1231,2009-09-07T06:00:00Z,2009-10-02T08:49:09.913564Z,8.625,-0.291666666666667
A75657_2009_spring,2009-02-23T13:00:00Z,2009-03-17T15:00:00Z,terra.natura-spain,75657,A75657,1013,2009-02-23T01:00:00Z,2009-03-25T09:38:59.134847Z,0.541666666666667,-7.375
A75657_2010_fall,2010-09-10T16:00:00Z,2010-09-24T14:00:00Z,terra.natura-spain,75657,A75657,1246,2010-09-07T08:36:43.445498Z,2010-09-29T07:14:45.335223Z,3.70833333333333,-4.375
A75657_2010_spring,2010-03-03T17:00:00Z,2010-03-24T13:00:00Z,terra.natura-spain,75657,A75657,1063,2010-03-04T01:00:00Z,2010-03-29T17:05:50.666120Z,-0.291666666666667,-4.41666666666667
A75657_2011_fall,2011-09-05T12:00:00Z,2011-09-16T16:00:00Z,terra.natura-spain,75657,A75657,1082,2011-09-01T02:00:00Z,2011-11-04T23:00:00Z,4.54166666666667,-48.3333333333333
A75657_2011_spring,2011-02-28T13:00:00Z,2011-03-21T19:00:00Z,terra.natura-spain,75657,A75657,993,2011-02-26T17:55:16.947963Z,2011-03-26T05:38:42.229578Z,2.54166666666667,-4.20833333333333
A75657_2012_fall,2012-08-31T12:00:00Z,2012-09-11T20:00:00Z,terra.natura-spain,75657,A75657,1360,2012-08-29T12:15:13.772113Z,2012-09-16T22:15:30.973733Z,2.54166666666667,-4.125
A75657_2012_spring,2012-02-26T13:00:00Z,2012-03-14T17:00:00Z,terra.natura-spain,75657,A75657,971,2012-02-26T13:00:00Z,2012-03-20T16:29:51.222015Z,0.541666666666667,-5.29166666666667
A75657_2013_fall,2013-09-09T16:00:00Z,2013-09-21T16:00:00Z,terra.natura-spain,75657,A75657,926,2013-09-09T00:00:00Z,2013-11-04T23:00:00Z,0.708333333333333,-43.3333333333333
A75657_2013_spring,2013-02-25T13:00:00Z,2013-03-22T23:00:00Z,terra.natura-spain,75657,A75657,929,2013-02-19T03:56:45.399297Z,2013-03-24T10:32:46.225105Z,6.54166666666667,-1.04166666666667
A75658_2009_fall,2009-09-08T08:00:00Z,2009-10-08T14:00:00Z,terra.natura-spain,75658,A75658,1175,2009-08-28T06:09:42.180349Z,2009-10-18T04:32:41.733676Z,11.375,-9.375
A75659_2009_fall,2009-09-07T12:00:00Z,2009-09-24T00:00:00Z,terra.natura-spain,75659,A75659,1281,2009-09-07T12:00:00Z,2009-12-14T23:00:00Z,0.541666666666667,-81
A75659_2010_fall,2010-09-08T14:00:00Z,2010-09-25T18:00:00Z,terra.natura-spain,75659,A75659,1317,2010-09-04T06:03:31.135092Z,2010-11-03T23:00:00Z,4.625,-38.25
A75659_2010_spring,2010-02-28T15:00:00Z,2010-03-19T19:00:00Z,terra.natura-spain,75659,A75659,957,2010-02-27T01:00:00Z,2010-03-26T15:57:09.782937Z,1.625,-6.20833333333333
A75659_2011_spring,2011-02-26T13:00:00Z,2011-03-20T19:00:00Z,terra.natura-spain,75659,A75659,875,2011-02-25T01:00:00Z,2011-03-26T12:05:34.163823Z,1.54166666666667,-5.20833333333333
A80419_2008_fall,2008-09-19T14:00:00Z,2008-10-03T12:00:00Z,terra.natura-spain,80419,A80419,1148,2008-09-19T00:00:00Z,2008-11-09T23:00:00Z,0.625,-36.5
A80419_2009_fall,2009-09-04T12:00:00Z,2009-09-19T16:00:00Z,terra.natura-spain,80419,A80419,1303,2009-09-04T00:00:00Z,2009-10-17T18:00:00Z,0.541666666666667,-27.2916666666667
A80419_2009_spring,2009-02-16T11:00:00Z,2009-03-09T15:00:00Z,terra.natura-spain,80419,A80419,1014,2009-02-12T03:12:11.666985Z,2009-03-17T04:09:03.499219Z,4.45833333333333,-7.375
A80419_2010_fall,2010-09-10T12:00:00Z,2010-09-28T14:00:00Z,terra.natura-spain,80419,A80419,1360,2010-09-06T00:33:22.037824Z,2010-10-29T22:00:00Z,4.54166666666667,-30.375
A80419_2010_spring,2010-02-13T11:00:00Z,2010-03-01T13:00:00Z,terra.natura-spain,80419,A80419,1096,2010-02-10T07:54:49.632118Z,2010-03-07T08:28:04.416070Z,3.45833333333333,-5.45833333333333
A80419_2011_spring,2011-02-18T13:00:00Z,2011-03-06T17:00:00Z,terra.natura-spain,80419,A80419,611,2011-02-18T07:00:00Z,2011-04-13T18:00:00Z,0.541666666666667,-37.25
A80420_2009_fall,2009-09-02T12:00:00Z,2009-09-21T17:00:00Z,terra.natura-spain,80420,A80420,1210,2009-08-28T13:58:09.392473Z,2009-09-24T23:57:15.075892Z,5.54166666666667,-2.25
A80420_2010_fall,2010-09-08T20:00:00Z,2010-09-23T23:00:00Z,terra.natura-spain,80420,A80420,1290,2010-09-02T12:34:47.845639Z,2010-09-28T21:11:09.216912Z,6.875,-4
A80420_2010_spring,2010-02-26T13:00:00Z,2010-03-16T19:00:00Z,terra.natura-spain,80420,A80420,1105,2010-02-22T04:37:51.512358Z,2010-03-22T20:38:59.018142Z,4.54166666666667,-5.20833333333333
A80420_2011_fall,2011-09-04T12:00:00Z,2011-09-16T19:00:00Z,terra.natura-spain,80420,A80420,1274,2011-09-02T08:26:43.197141Z,2011-10-27T22:00:00Z,2.54166666666667,-40.1666666666667
A80420_2011_spring,2011-02-25T13:00:00Z,2011-03-18T19:00:00Z,terra.natura-spain,80420,A80420,1240,2011-01-06T07:00:00Z,2011-03-24T18:15:25.937108Z,50.5416666666667,-5.20833333333333
A80420_2012_fall,2012-09-02T00:00:00Z,2012-09-16T19:00:00Z,terra.natura-spain,80420,A80420,1271,2012-09-01T06:12:02.379751Z,2012-11-18T23:00:00Z,1.04166666666667,-62.2083333333333
A80420_2012_spring,2012-02-17T09:00:00Z,2012-03-09T19:00:00Z,terra.natura-spain,80420,A80420,1156,2012-02-21T01:00:00Z,2012-03-14T14:15:10.381264Z,-3.625,-4.20833333333333
A80420_2013_spring,2013-02-10T11:00:00Z,2013-03-15T19:00:00Z,terra.natura-spain,80420,A80420,774,2013-02-10T01:00:00Z,2013-03-23T05:28:48.875864Z,0.458333333333333,-7.20833333333333
A89730_2009_fall,2009-08-21T02:00:00Z,2009-09-01T02:00:00Z,terra.natura-spain,89730,A89730,143,2009-08-21T02:00:00Z,2009-09-03T19:38:50.251415Z,0.125,-1.875
A89730_2010_fall,2010-08-14T14:00:00Z,2010-08-30T02:00:00Z,terra.natura-spain,89730,A89730,155,2010-08-19T20:31:11.264260Z,2010-09-02T02:09:09.019619Z,-4.375,-2.875
A89730_2010_spring,2010-03-08T01:00:00Z,2010-03-26T01:00:00Z,terra.natura-spain,89730,A89730,103,2010-03-09T01:00:00Z,2010-03-24T01:00:00Z,-0.958333333333333,2.04166666666667
A89730_2011_fall,2011-08-28T02:00:00Z,2011-09-09T02:00:00Z,terra.natura-spain,89730,A89730,138,2011-08-29T02:00:00Z,2011-09-12T00:51:48.870304Z,-0.875,-2.875
A89730_2011_spring,2011-02-22T01:00:00Z,2011-03-22T01:00:00Z,terra.natura-spain,89730,A89730,104,2011-02-22T01:00:00Z,2011-03-16T20:19:34.672080Z,0.0416666666666667,6.04166666666667
A89730_2012_fall,2012-08-07T14:00:00Z,2012-08-18T02:00:00Z,terra.natura-spain,89730,A89730,103,2012-08-07T02:00:00Z,2012-08-18T09:03:50.196394Z,0.625,0.125
A89730_2012_spring,2012-02-27T01:00:00Z,2012-03-16T01:00:00Z,terra.natura-spain,89730,A89730,91,2012-03-01T01:00:00Z,2012-03-19T22:50:44.823102Z,-2.95833333333333,-2.95833333333333
A89730_2013_spring,2013-02-21T01:00:00Z,2013-03-15T01:00:00Z,terra.natura-spain,89730,A89730,65,2013-01-26T01:00:00Z,2013-03-14T00:45:50.446116Z,26.0416666666667,1.04166666666667
A89731_2009_fall,2009-09-08T02:00:00Z,2009-09-22T02:00:00Z,terra.natura-spain,89731,A89731,127,2009-09-07T11:13:00.304024Z,2009-09-25T13:11:13.191712Z,1.125,-2.875
A89731_2010_fall,2010-09-06T02:00:00Z,2010-09-28T02:00:00Z,terra.natura-spain,89731,A89731,155,2010-09-04T11:47:21.046685Z,2010-09-27T02:00:00Z,2.125,1.125
A89731_2010_spring,2010-02-27T01:00:00Z,2010-03-15T01:00:00Z,terra.natura-spain,89731,A89731,131,2010-02-25T03:19:52.214756Z,2010-03-20T01:08:46.287372Z,2.04166666666667,-4.95833333333333
A89731_2011_fall,2011-09-11T02:00:00Z,2011-09-26T02:00:00Z,terra.natura-spain,89731,A89731,160,2011-09-11T02:00:00Z,2011-09-26T23:57:18.850243Z,0.125,0.125
A89731_2011_spring,2011-02-18T01:00:00Z,2011-03-15T01:00:00Z,terra.natura-spain,89731,A89731,119,2011-02-18T01:00:00Z,2011-03-19T07:27:37.987429Z,0.0416666666666667,-3.95833333333333
A89731_2012_spring,2012-02-22T01:00:00Z,2012-03-13T01:00:00Z,terra.natura-spain,89731,A89731,131,2012-02-23T01:00:00Z,2012-03-19T19:17:20.673509Z,-0.958333333333333,-5.95833333333333
