id.yr.season,season,start_mig_MANU,end_mig_MANU
2HN_2015_fall,fall,2015-09-10T12:00:00Z,2015-10-14T19:00:00Z
2HN_2018_fall,fall,,
2HN_2018_spring,spring,,
95N_2018_fall,fall,,
95P_2018_fall,fall,,
95R_2016_fall,fall,,
9FH_2017_fall,fall,,
9FJ_2017_fall,fall,,
A75657_2007_fall,fall,2007-09-08T12:00:00Z,2007-09-25T14:00:00Z
A75657_2008_fall,fall,2008-09-02T12:00:00Z,2008-09-13T00:00:00Z
A75657_2008_spring,spring,2008-03-01T13:00:00Z,2008-03-14T17:00:00Z
A75657_2009_fall,fall,2009-09-15T14:00:00Z,2009-10-01T16:00:00Z
A75657_2009_spring,spring,2009-02-23T13:00:00Z,2009-03-17T15:00:00Z
A75657_2010_fall,fall,2010-09-10T16:00:00Z,2010-09-24T14:00:00Z
A75657_2010_spring,spring,2010-03-03T17:00:00Z,2010-03-24T13:00:00Z
A75657_2011_fall,fall,2011-09-05T12:00:00Z,2011-09-16T16:00:00Z
A75657_2011_spring,spring,2011-02-28T13:00:00Z,2011-03-21T19:00:00Z
A75657_2012_fall,fall,2012-08-31T12:00:00Z,2012-09-11T20:00:00Z
A75657_2012_spring,spring,2012-02-26T13:00:00Z,2012-03-14T17:00:00Z
A75657_2013_fall,fall,2013-09-09T16:00:00Z,2013-09-21T16:00:00Z
A75657_2013_spring,spring,2013-02-25T13:00:00Z,2013-03-22T23:00:00Z
A75658_2009_fall,fall,2009-09-08T08:00:00Z,2009-10-08T14:00:00Z
A75659_2009_fall,fall,2009-09-07T12:00:00Z,2009-09-24T00:00:00Z
A75659_2010_fall,fall,2010-09-08T14:00:00Z,2010-09-25T18:00:00Z
A75659_2010_spring,spring,2010-02-28T15:00:00Z,2010-03-19T19:00:00Z
A75659_2011_spring,spring,2011-02-26T13:00:00Z,2011-03-20T19:00:00Z
A80419_2008_fall,fall,2008-09-19T14:00:00Z,2008-10-03T12:00:00Z
A80419_2009_fall,fall,2009-09-04T12:00:00Z,2009-09-19T16:00:00Z
A80419_2009_spring,spring,2009-02-16T11:00:00Z,2009-03-09T15:00:00Z
A80419_2010_fall,fall,2010-09-10T12:00:00Z,2010-09-28T14:00:00Z
A80419_2010_spring,spring,2010-02-13T11:00:00Z,2010-03-01T13:00:00Z
A80419_2011_spring,spring,2011-02-18T13:00:00Z,2011-03-06T17:00:00Z
A80420_2009_fall,fall,2009-09-02T12:00:00Z,2009-09-21T17:00:00Z
A80420_2010_fall,fall,2010-09-08T20:00:00Z,2010-09-23T23:00:00Z
A80420_2010_spring,spring,2010-02-26T13:00:00Z,2010-03-16T19:00:00Z
A80420_2011_fall,fall,2011-09-04T12:00:00Z,2011-09-16T19:00:00Z
A80420_2011_spring,spring,2011-02-25T13:00:00Z,2011-03-18T19:00:00Z
A80420_2012_fall,fall,2012-09-02T00:00:00Z,2012-09-16T19:00:00Z
A80420_2012_spring,spring,2012-02-17T09:00:00Z,2012-03-09T19:00:00Z
A80420_2013_spring,spring,2013-02-10T11:00:00Z,2013-03-15T19:00:00Z
A89730_2009_fall,fall,2009-08-21T02:00:00Z,2009-09-01T02:00:00Z
A89730_2010_fall,fall,2010-08-14T14:00:00Z,2010-08-30T02:00:00Z
A89730_2010_spring,spring,2010-03-08T01:00:00Z,2010-03-26T01:00:00Z
A89730_2011_fall,fall,2011-08-28T02:00:00Z,2011-09-09T02:00:00Z
A89730_2011_spring,spring,2011-02-22T01:00:00Z,2011-03-22T01:00:00Z
A89730_2012_fall,fall,2012-08-07T14:00:00Z,2012-08-18T02:00:00Z
A89730_2012_spring,spring,2012-02-27T01:00:00Z,2012-03-16T01:00:00Z
A89730_2013_spring,spring,2013-02-21T01:00:00Z,2013-03-15T01:00:00Z
A89731_2009_fall,fall,2009-09-08T02:00:00Z,2009-09-22T02:00:00Z
A89731_2010_fall,fall,2010-09-06T02:00:00Z,2010-09-28T02:00:00Z
A89731_2010_spring,spring,2010-02-27T01:00:00Z,2010-03-15T01:00:00Z
A89731_2011_fall,fall,2011-09-11T02:00:00Z,2011-09-26T02:00:00Z
A89731_2011_spring,spring,2011-02-18T01:00:00Z,2011-03-15T01:00:00Z
A89731_2012_spring,spring,2012-02-22T01:00:00Z,2012-03-13T01:00:00Z
Agri_2013_fall,fall,2013-09-11T03:00:00Z,2013-09-27T03:00:00Z
Agri_2014_spring,spring,2014-03-21T02:00:00Z,2014-04-07T15:00:00Z
Akaga_2018_fall,fall,,
Amud_2018_fall,fall,,
Aoos_2015_fall,fall,,
Aoos_2016_fall,fall,,
Aoos_2016_spring,spring,2016-03-16T00:00:00Z,2016-04-18T00:00:00Z
Aoos_2017_fall,fall,,
Aoos_2017_spring,spring,,
Aoos_2018_fall,fall,,
Aoos_2018_spring,spring,,
Aras_2012_fall,fall,2012-09-04T20:00:00Z,2012-09-23T18:00:00Z
Arda_2012_fall,fall,2012-09-20T13:00:00Z,2012-10-14T15:00:00Z
Ardahan_2013_fall,fall,2013-08-22T10:00:00Z,2013-09-16T12:00:00Z
Ardahan_2014_spring,spring,2014-04-10T07:24:00Z,2014-04-29T17:00:00Z
Armenia2_2015_fall,fall,,
Armenia3_2015_fall,fall,,
Batuecasa_2017_fall,fall,2017-09-13T00:00:00Z,2017-09-25T00:00:00Z
Batuecasa_2018_fall,fall,2018-09-21T00:00:00Z,2018-09-30T00:00:00Z
Batuecasa_2018_spring,spring,2018-02-14T00:00:00Z,2018-03-07T00:00:00Z
Blanka_2018_fall,fall,,
Boris_2015_fall,fall,,
Boris_2016_fall,fall,,
Boris_2016_spring,spring,2016-03-01T00:00:00Z,2016-03-20T00:00:00Z
Boris_2017_fall,fall,,
Boris_2017_spring,spring,,
Boris_2018_fall,fall,,
Boris_2018_spring,spring,,
Boyana_2018_fall,fall,,
Brieva_2016_fall,fall,,
Bruco_2017_fall,fall,2017-09-06T00:00:00Z,2017-09-22T00:00:00Z
Cabuk_2014_fall,fall,2014-09-08T11:00:00Z,2014-09-21T13:00:00Z
Cabuk_2015_fall,fall,,
Cabuk_2015_spring,spring,,
Castor_2014_fall,fall,2014-08-22T11:00:00Z,2014-09-17T22:00:00Z
Castor_2015_fall,fall,,
Castor_2015_spring,spring,2015-03-07T00:00:00Z,2015-04-05T00:00:00Z
Dobromir_2012_fall,fall,2012-09-08T11:00:00Z,2012-10-31T20:00:00Z
Dobromir_2014_fall,fall,2014-07-30T15:00:00Z,2014-10-02T22:00:00Z
Dobromir_2014_spring,spring,2014-04-18T11:00:00Z,2014-06-03T00:00:00Z
Dobromir_2015_fall,fall,2015-08-22T00:00:00Z,
Dobromir_2015_spring,spring,2015-04-30T00:00:00Z,2015-05-15T00:00:00Z
Dobromir_2016_fall,fall,,
Dobromir_2016_spring,spring,2016-05-01T00:00:00Z,2016-05-30T00:00:00Z
