id.yr.season,study,tag,id,N_locs,start_mig,end_mig
2HN_2015_fall,grefa-spain,137397,2HN,633,2015-07-29T16:00:00Z,2015-11-19T02:58:48.485361Z
2HN_2016_fall,grefa-spain,137397,2HN,1224,,
2HN_2016_spring,grefa-spain,137397,2HN,1211,,
2HN_2017_fall,grefa-spain,137397,2HN,1204,2017-06-29T03:03:55.497030Z,2017-07-08T07:37:52.207133Z
2HN_2017_spring,grefa-spain,137397,2HN,1202,2017-05-01T02:14:18.463600Z,2017-05-25T01:09:00.411175Z
2HN_2018_fall,grefa-spain,137397,2HN,1247,2018-09-01T11:00:00Z,2018-09-24T07:19:18.639351Z
2HN_2018_spring,grefa-spain,137397,2HN,1173,2018-03-02T15:36:38.949210Z,2018-05-01T20:06:46.864718Z
2HP_2016_fall,grefa-spain,48500703772,2HP,233,2016-08-24T23:16:07.899112Z,2016-10-12T19:10:43.257089Z
2HP_2018_fall,grefa-spain,48500703772,2HP,230,2018-08-23T06:00:00Z,2018-10-31T02:58:48.485361Z
2HP_2018_spring,grefa-spain,48500703772,2HP,116,2018-04-05T02:54:39.059754Z,2018-06-05T12:07:17.324467Z
95N_2018_fall,grefa-spain,181641,95N,1946,2018-09-08T06:00:00Z,2018-09-25T07:27:56.800981Z
95P_2018_fall,grefa-spain,6471,95P,1380,2018-09-07T07:00:00Z,2018-11-18T00:34:49.020199Z
95R_2016_fall,grefa-spain,5019,95R,2016,2016-08-29T07:00:00Z,2016-10-15T21:00:00Z
95R_2017_fall,grefa-spain,5019,95R,879,,
95R_2017_spring,grefa-spain,5019,95R,2705,,
95R_2018_spring,grefa-spain,5019,95R,29,,
9FC_2017_fall,grefa-spain,5782,9FC,388,2017-09-12T07:00:00Z,2017-11-19T02:58:48.485361Z
9FH_2017_fall,grefa-spain,370,9FH,3405,2017-08-11T00:00:00Z,2017-11-17T23:13:12.942001Z
9FH_2018_spring,grefa-spain,370,9FH,580,,
9FJ_2017_fall,grefa-spain,5783,9FJ,2166,2017-08-04T08:00:00Z,2017-09-26T12:38:38.515278Z
9FJ_2018_spring,grefa-spain,5783,9FJ,378,,
A75657_2007_fall,terra.natura-spain,75657,A75657,1185,2007-09-08T00:00:00Z,2007-11-20T23:00:00Z
A75657_2008_fall,terra.natura-spain,75657,A75657,1397,2008-09-02T19:41:08.998837Z,2008-12-31T23:00:00Z
A75657_2008_spring,terra.natura-spain,75657,A75657,929,2008-02-29T04:37:39.323439Z,2008-03-19T14:02:20.082992Z
A75657_2009_fall,terra.natura-spain,75657,A75657,1231,2009-09-07T06:00:00Z,2009-10-02T08:49:09.913564Z
A75657_2009_spring,terra.natura-spain,75657,A75657,1013,2009-02-23T01:00:00Z,2009-03-25T09:38:59.134847Z
A75657_2010_fall,terra.natura-spain,75657,A75657,1246,2010-09-07T08:36:43.445498Z,2010-09-29T07:14:45.335223Z
A75657_2010_spring,terra.natura-spain,75657,A75657,1063,2010-03-04T01:00:00Z,2010-03-29T17:05:50.666120Z
A75657_2011_fall,terra.natura-spain,75657,A75657,1082,2011-09-01T02:00:00Z,2011-11-04T23:00:00Z
A75657_2011_spring,terra.natura-spain,75657,A75657,993,2011-02-26T17:55:16.947963Z,2011-03-26T05:38:42.229578Z
A75657_2012_fall,terra.natura-spain,75657,A75657,1360,2012-08-29T12:15:13.772113Z,2012-09-16T22:15:30.973733Z
