mig_metric,agemigr,Balkans_fall,Balkans_spring,Middle_East_fall,Middle_East_spring,West_fall,West_spring
direct-line distance,adult,3651 (2948 - 5093),NA (NA - NA),4274 (3728 - 5062),4158 (3723 - 5041),2752 (2267 - 3368),2818 (2472 - 3333)
direct-line distance,immature,4010 (3345 - 4584),3764 (3582 - 3936),4249 (3595 - 5452),4108 (3406 - 4910),2850 (2736 - 3030),2812 (2537 - 3029)
direct-line distance,juvenile,3507 (3237 - 4136),,3085 (2635 - 4058),,3027 (2641 - 3370),
duration,adult,23 (11 - 65),NA (NA - NA),22 (12 - 61),23 (15 - 67),15 (9 - 26),21 (13 - 33)
duration,immature,49 (35 - 64),41 (15 - 58),22 (12 - 41),41 (21 - 83),19 (15 - 21),26 (13 - 48)
duration,juvenile,35 (18 - 60),,29 (12 - 56),,36 (14 - 77),
julian_end,adult,30-Sep (05-Sep - 16-Oct),NA (NA - NA),05-Oct (17-Sep - 04-Nov),13-Apr (23-Mar - 30-Apr),20-Sep (15-Aug - 17-Oct),17-Mar (26-Feb - 07-Apr)
julian_end,immature,04-Oct (27-Sep - 19-Oct),03-Jun (11-May - 27-Jun),04-Oct (11-Sep - 30-Oct),04-Jun (11-May - 20-Jun),02-Oct (23-Sep - 14-Oct),19-Apr (02-Apr - 06-May)
julian_end,juvenile,19-Oct (27-Sep - 13-Nov),,10-Oct (10-Sep - 14-Nov),,15-Oct (17-Sep - 22-Nov),
julian_start,adult,07-Sep (12-Aug - 26-Sep),NA (NA - NA),14-Sep (31-Jul - 07-Oct),21-Mar (29-Jan - 15-Apr),05-Sep (20-Jul - 27-Sep),24-Feb (04-Feb - 10-Mar)
julian_start,immature,16-Aug (31-Jul - 28-Aug),23-Apr (19-Mar - 05-May),12-Sep (24-Aug - 07-Oct),24-Apr (16-Mar - 29-May),14-Sep (02-Sep - 23-Sep),24-Mar (19-Mar - 03-Apr)
julian_start,juvenile,14-Sep (07-Sep - 22-Sep),,10-Sep (29-Aug - 25-Sep),,09-Sep (13-Aug - 09-Oct),
speed,adult,264 (111 - 407),NA (NA - NA),266 (85 - 384),253 (73 - 327),215 (144 - 321),165 (117 - 242)
speed,immature,145 (121 - 183),191 (133 - 331),251 (129 - 364),187 (78 - 266),170 (147 - 210),189 (118 - 231)
speed,juvenile,176 (105 - 251),,163 (64 - 249),,127 (61 - 250),
straightness,adult,0.687 (0.528 - 0.925),NA (NA - NA),0.898 (0.6 - 0.977),0.836 (0.706 - 0.941),0.896 (0.772 - 0.982),0.837 (0.642 - 0.945)
straightness,immature,0.594 (0.438 - 0.692),0.566 (0.444 - 0.793),0.86 (0.791 - 0.969),0.672 (0.383 - 0.778),0.918 (0.897 - 0.933),0.741 (0.506 - 0.9)
straightness,juvenile,0.66 (0.528 - 0.819),,0.83 (0.731 - 0.887),,0.801 (0.694 - 0.952),
travel distance,adult,5378 (4479 - 7213),NA (NA - NA),4795 (4042 - 6217),4995 (4351 - 5553),3079 (2415 - 3779),3398 (2846 - 4657)
travel distance,immature,6849 (5649 - 7713),6939 (4964 - 8279),4962 (4064 - 6575),6521 (4606 - 10983),3103 (2995 - 3264),4066 (2820 - 5679)
travel distance,juvenile,5421 (4147 - 6856),,3717 (2987 - 4675),,3819 (3129 - 4724),
