Chisq,Df,Pr(>Chisq),parameter,variable
167.566482174526,2,4.10582769499664e-37,factor(subpopulation),totaldistkm
282.062639307511,2,5.63476876904623e-62,factor(subpopulation)1,cumulativedistkm
17.8256482511376,1,2.42097761021029e-05,factor(season),cumulativedistkm
95.8479677315652,2,1.53772351707609e-21,factor(subpopulation)2,straightness
21.8093575243458,1,3.01127920880671e-06,factor(season)1,straightness
10.4297284629751,2,0.00543517135151889,factor(subpopulation)3,durationdays
11.0302958892804,1,0.000896348396524343,factor(season)2,durationdays
38.0551472938408,5,3.67820276440545e-07,factor(agemigr),durationdays
23.7771493366104,2,6.86843233101939e-06,factor(subpopulation)4,start
3871.03813974133,1,0,factor(season)3,start
30.8656972183051,5,9.95688877351172e-06,factor(agemigr)1,start
39.4344570725273,2,2.73474255236978e-09,factor(subpopulation)5,end
3440.64475588521,1,0,factor(season)4,end
86.3491953993467,5,3.92388263619757e-17,factor(agemigr)2,end
39.149823343968,2,3.15299932021171e-09,factor(subpopulation)6,speed
21.9071140711267,1,2.86171067827313e-06,factor(season)5,speed
47.8258155272175,5,3.85492180708993e-09,factor(agemigr)3,speed
