id.yr.season,start,end
Armenia2_2015_fall,8/31/15 0:00,10/11/15 0:00
Orada_2016_fall,3/15/15 0:00,4/2/15 0:00
Tuzluca_2015_spring,3/15/15 0:00,4/2/15 0:00
Iste_2015_spring,4/14/15 0:00,4/29/15 0:00
Logiya_2015_spring,4/17/15 0:00,5/2/15 0:00
Cabuk_2015_spring,5/28/15 0:00,6/18/15 0:00
Orada_2015_fall,8/28/15 0:00,9/27/15 0:00
Tuzluca_2015_fall,8/28/15 0:00,9/27/15 0:00
Armenia2_2015_fall,8/31/15 0:00,10/11/15 0:00
Logiya_2015_fall,9/8/15 0:00,9/21/15 0:00
Iste_2015_fall,9/17/15 0:00,9/29/15 0:00
Armenia3_2015_fall,9/20/15 0:00,10/9/15 0:00
Cabuk_2015_fall,10/6/15 0:00,10/27/15 0:00
Orada_2016_spring,3/14/16 0:00,4/15/16 0:00
Tuzluca_2016_spring,3/14/16 0:00,4/15/16 0:00
Iste_2016_spring,3/22/16 0:00,4/8/16 0:00
Logiya_2016_spring,4/16/16 0:00,5/9/16 0:00
Logiya_2016_fall,9/15/16 0:00,9/27/16 0:00
Iste_2016_fall,9/25/16 0:00,10/9/16 0:00
Iste_2017_spring,3/13/17 0:00,3/30/17 0:00
Logiya_2017_spring,4/6/17 0:00,4/28/17 0:00
Logiya_2017_fall,9/15/17 0:00,9/27/17 0:00
Iste_2017_fall,9/24/17 0:00,10/9/17 0:00
Iste_2018_spring,3/16/18 0:00,3/31/18 0:00
Logiya_2018_spring,3/22/18 0:00,4/9/18 0:00
Logiya_2018_fall,9/6/18 0:00,9/19/18 0:00
Iste_2018_fall,9/16/18 0:00,9/28/18 0:00
