?subpopbroad,subpopfine,country,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
Gipuzkoa,Gipuzkoa,Spain,West,Endoia,2017,fall,n,1,1,1917003.768,1917.003768,2152093.489,2152.093489,0.89076231,1.73457E+11,173456629.1,3.7638,0.003,1.2967,9/3/17 6:00,9/11/17 17:00,8.458333333,246,254,-2.277454,43.19814,25.96828,-3.986195
Bulgaria,Bulgaria,Bulgaria,East,Iliaz,2014,spring,n,1,3,2115739.858,2115.739858,15160179.42,15160.17942,0.139559025,4.33269E+11,433268754.3,10.1671,0.0074,2.1148,3/29/14 5:00,6/17/14 23:00,80.75,88,168,20.54183,10.73583,26.60383,27.74617
Bulgaria,Bulgaria,Bulgaria,East,Iliaz,2015,fall,n,1,4,454351.2858,454.3512858,7886701.827,7886.701827,0.057609796,15938416200,15938416.2,23.2225,0.0129,2.2881,7/1/15 0:00,11/2/15 23:00,124.9583333,182,306,18.756,13.666,10.93717,21.4345
Bulgaria,Bulgaria,Bulgaria,East,Iliaz,2015,spring,n,1,4,2741528.401,2741.528401,6729689.988,6729.689988,0.407378112,1.046E+12,1046003679,4.4358,0.0073,1.7354,4/9/15 0:00,5/12/15 23:00,33.95833333,99,132,14.5345,11.30133,30.95167,27.36383
Greece,Greece,Greece,East,Levkipos,2014,spring,n,1,3,1824475.968,1824.475968,12049401.14,12049.40114,0.151416319,5.14745E+11,514744727.7,7.9899,0.0077,1.9712,4/30/14 2:00,6/22/14 23:00,53.875,120,173,26.32854,10.53062,23.91167,31.46883
Dagestan,Dagestan,Dagestan,East,Malysh,2017,fall,n,1,1,3019454.642,3019.454642,3730453.823,3730.453823,0.809406787,8.99863E+11,899863075.6,3.8603,0.0074,1.2327,9/16/17 6:00,10/2/17 17:00,16.45833333,259,275,47.18057,42.98445,22.08486,40.05538
Bulgaria,Bulgaria,Bulgaria,East,Sanie,2016,spring,n,1,4,3864778.917,3864.778917,7498363.113,7498.363113,0.515416346,1.64481E+12,1644812540,3.942,0.0071,1.9801,4/13/16 0:00,5/13/16 23:00,30.95833333,104,134,17.01617,12.8335,40.4985,34.86283
Dagestan,Dagestan,Dagestan,East,Sarygush,2017,fall,n,1,1,1190357.512,1190.357512,3131025.61,3131.02561,0.38018134,1.88474E+11,188473979.9,4.9836,0.0085,1.2769,9/7/17 6:00,9/22/17 17:00,15.45833333,250,265,46.77717,43.15854,34.69181,44.03066
Bulgaria,Bulgaria,Bulgaria,East,Svetlina,2014,spring,n,1,3,1138857.26,1138.85726,4409001.77,4409.00177,0.258302745,1.25556E+11,125556391.8,7.5502,0.0069,2.0546,5/24/14 4:00,6/10/14 22:00,17.75,144,161,40.634,10.49133,17.91383,38.27417
Galicia,Galicia,Spain,West,X2HP,2016,fall,n,1,1,1043021.925,1043.021925,2361974.598,2361.974598,0.441588968,2.0106E+11,201059711.8,3.8352,0.0064,1.9734,7/25/16 7:00,10/10/16 11:00,77.16666667,207,284,-4.100033,40.95475,31.56495,-4.679866
Galicia,Galicia,Spain,West,X2HP,2018,fall,n,1,3,1570373.042,1570.373042,1881554.859,1881.554859,0.83461454,2.26903E+11,226902827.3,3.7382,0.0047,1.6668,8/23/18 6:00,8/31/18 18:00,8.5,235,243,-5.896749,41.0609,27.06692,-8.308516
Galicia,Galicia,Spain,West,X2HP,2018,spring,n,1,3,1660930.425,1660.930425,3021064.933,3021.064933,0.549783094,1.52525E+11,152525109.8,4.8615,0.0038,1.4506,4/23/18 8:00,5/17/18 20:00,24.5,113,137,-8.257216,27.26282,42.18812,-7.422932
Galicia,Galicia,Spain,West,X2HN,2015,fall,y,1,1,3075596.98,3075.59698,5239482.488,5239.482488,0.587003962,1.03355E+12,1033552404,4.048,0.0073,1.4572,9/10/15 10:00,10/14/15 21:00,34.45833333,253,287,-7.25833,42.31167,14.61717,-7.60933
Galicia,Galicia,Spain,West,X2HN,2018,fall,y,1,4,2774733.761,2774.733761,3461319.693,3461.319693,0.801640417,1.07344E+12,1073442662,3.8747,0.0069,1.5245,9/1/18 11:00,9/22/18 22:00,21.45833333,244,265,-6.32317,40.70067,15.77667,-8.33967
Galicia,Galicia,Spain,West,X2HN,2018,spring,y,1,4,2988464.052,2988.464052,6610716.651,6610.716651,0.452063552,7.73004E+11,773004246.5,4.8263,0.0073,2.0795,3/18/18 12:00,5/5/18 23:00,48.45833333,77,125,-7.957,16.98867,43.32417,-1.29667
Galicia,Galicia,Spain,West,X95N,2018,fall,y,6,6,2788166.588,2788.166588,3090145.232,3090.145232,0.902276877,7.33531E+11,733530705.2,5.911,0.0078,1.1924,9/9/18 6:00,9/21/18 19:00,12.54166667,252,264,-3.633915,41.48524,16.68288,-8.286997
Galicia,Galicia,Spain,West,X95P,2018,fall,y,1,1,3058447.313,3058.447313,5116371.892,5116.371892,0.597776584,8.30276E+11,830275883.6,5.1876,0.0111,1.7518,9/23/18 7:00,11/5/18 19:00,43.5,266,309,-6.739962,39.0414,13.2379,-16.73452
Galicia,Galicia,Spain,West,X95R,2016,fall,y,1,1,2928872.657,2928.872657,4094111.754,4094.111754,0.715386592,1.08292E+12,1082920964,4.1353,0.0097,1.6365,9/7/16 7:00,10/1/16 21:00,24.58333333,251,275,-5.375783,43.25449,16.87701,-3.548494
Galicia,Galicia,Spain,West,X9FH,2017,fall,y,1,1,2984699.358,2984.699358,5034565.572,5034.565572,0.592841491,9.60175E+11,960174519.4,4.7019,0.0125,1.9109,10/8/17 0:00,11/21/17 23:00,44.95833333,281,325,-6.81,39.65686,14.57025,-16.92398
Galicia,Galicia,Spain,West,X9FJ,2017,fall,y,1,1,2891366.486,2891.366486,5195569.112,5195.569112,0.556506212,7.81593E+11,781592610.4,4.5984,0.0106,1.7568,8/12/17 8:00,9/18/17 20:00,37.5,224,261,-6.845075,42.48742,16.47537,-4.795779
Valencia,Valencia,Spain,West,A75657,2007,fall,y,6,6,2811934.074,2811.934074,4079989.32,4079.98932,0.689201332,8.36459E+11,836458660,3.8082,0.0062,1.7338,9/8/07 0:00,9/25/07 18:00,17.75,251,268,-0.57183,40.2505,17.087,-12.25217
Valencia,Valencia,Spain,West,A75657,2008,fall,y,6,6,2800207.691,2800.207691,3442669.874,3442.669874,0.813382576,7.98149E+11,798149387.9,3.539,0.0045,1.3585,9/2/08 0:00,9/13/08 22:00,11.91666667,246,257,-1.83033,40.8415,16.9805,-11.18033
Valencia,Valencia,Spain,West,A75657,2008,spring,y,6,6,2939257.761,2939.257761,3569267.331,3569.267331,0.823490506,7.34426E+11,734425808.2,3.9399,0.0041,1.5411,3/1/08 1:00,3/14/08 21:00,13.83333333,61,74,-14.39833,16.8235,40.8415,-1.83033
Valencia,Valencia,Spain,West,A75657,2009,fall,y,6,6,2824550.742,2824.550742,3712916.088,3712.916088,0.760736487,9.34684E+11,934683500.8,4.9758,0.0055,2.0796,9/15/09 0:00,10/1/09 20:00,16.83333333,258,274,-1.83483,40.85,17.11683,-12.2715
Valencia,Valencia,Spain,West,A75657,2009,spring,y,6,6,2943445.989,2943.445989,3487633.758,3487.633758,0.843966481,5.23445E+11,523445195,5.7391,0.0055,1.4811,2/23/09 1:00,3/17/09 23:00,22.91666667,54,76,-14.04583,16.639,40.8415,-1.83033
