subpopbroad,subpopfine,country,subpopulation,route,ID,year,season,full_migration,agedeploy,agemigr,totaldistance,totaldistkm,cumulativedistance,cumulativedistkm,straightness,msd,msdkm,intensityuse,sinuosity,tac,start,end,durationdays,julian_start,julian_end,startlong,startlat,endlat,endlong
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gipuzkoa,Gipuzkoa,Spain,West,West,Endoia,2017,fall,n,1,1,1917004,1917,2152093,2152,0.8908,1.73E+11,173456629,3.7638,0.003,1.2967,03/09/2017 06:00,11/09/2017 17:00,8.4583,246,254,-2.27745,43.19814,25.96828,-3.9862
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Bulgaria,Bulgaria,Balkans,East,Iliaz,2014,spring,n,1,3,2115740,2116,15160179,15160,0.1396,4.33E+11,433268754,10.1671,0.0074,2.1148,3/29/14 5:00,6/17/14 23:00,80.75,88,168,20.54183,10.73583,26.60383,27.74617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Bulgaria,Bulgaria,Balkans,East,Iliaz,2015,fall,n,1,4,454351,454,7886702,7887,0.0576,15938416200,15938416,23.2225,0.0129,2.2881,01/07/2015 00:00,02/11/2015 23:00,124.9583,182,306,18.756,13.666,10.93717,21.4345
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Bulgaria,Bulgaria,Balkans,East,Iliaz,2015,spring,n,1,4,2741528,2742,6729690,6730,0.4074,1.05E+12,1046003679,4.4358,0.0073,1.7354,09/04/2015 00:00,12/05/2015 23:00,33.9583,99,132,14.5345,11.30133,30.95167,27.36383
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,Greece,Greece,Balkans,East,Levkipos,2014,spring,n,1,3,1824476,1824,12049401,12049,0.1514,5.15E+11,514744728,7.9899,0.0077,1.9712,4/30/14 2:00,6/22/14 23:00,53.875,120,173,26.32854,10.53062,23.91167,31.46883
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dagestan,Dagestan,Dagestan,Middle_East,East,Malysh,2017,fall,y,1,1,3019455,3019,3730454,3730,0.8094,9.00E+11,899863076,3.8603,0.0074,1.2327,9/16/17 6:00,02/10/2017 17:00,16.4583,259,275,47.18057,42.98445,22.08486,40.05538
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Bulgaria,Bulgaria,Balkans,East,Sanie,2016,spring,y,1,4,3864779,3865,7498363,7498,0.5154,1.64E+12,1644812540,3.942,0.0071,1.9801,4/13/16 0:00,5/13/16 23:00,30.9583,104,134,17.01617,12.8335,40.4985,34.86283
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dagestan,Dagestan,Dagestan,Middle_East,East,Sarygush,2017,fall,n,1,1,1190358,1190,3131026,3131,0.3802,1.88E+11,188473980,4.9836,0.0085,1.2769,07/09/2017 06:00,9/22/17 17:00,15.4583,250,265,46.77717,43.15854,34.69181,44.03066
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulgaria,Bulgaria,Bulgaria,Balkans,East,Svetlina,2014,spring,n,1,3,1138857,1139,4409002,4409,0.2583,1.26E+11,125556392,7.5502,0.0069,2.0546,5/24/14 4:00,10/06/2014 22:00,17.75,144,161,40.634,10.49133,17.91383,38.27417
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,Galicia,Spain,West,West,X2HP,2016,fall,n,1,1,1043022,1043,2361975,2362,0.4416,2.01E+11,201059712,3.8352,0.0064,1.9734,7/25/16 7:00,10/10/2016 11:00,77.1667,207,284,-4.10003,40.95475,31.56495,-4.67987
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,Galicia,Spain,West,West,X2HP,2018,fall,n,1,3,1570373,1570,1881555,1882,0.8346,2.27E+11,226902827,3.7382,0.0047,1.6668,8/23/18 6:00,8/31/18 18:00,8.5,235,243,-5.89675,41.0609,27.06692,-8.30852
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,Galicia,Spain,West,West,X2HP,2018,spring,n,1,3,1660930,1661,3021065,3021,0.5498,1.53E+11,152525110,4.8615,0.0038,1.4506,4/23/18 8:00,5/17/18 20:00,24.5,113,137,-8.25722,27.26282,42.18812,-7.42293
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,Galicia,Spain,West,West,X2HN,2015,fall,y,1,1,3075597,3076,5239482,5239,0.587,1.03E+12,1033552404,4.048,0.0073,1.4572,10/09/2015 10:00,10/14/15 21:00,34.4583,253,287,-7.25833,42.31167,14.61717,-7.60933
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,Galicia,Spain,West,West,X2HN,2018,fall,y,1,4,2774734,2775,3461320,3461,0.8016,1.07E+12,1073442662,3.8747,0.0069,1.5245,01/09/2018 11:00,9/22/18 22:00,21.4583,244,265,-6.32317,40.70067,15.77667,-8.33967
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,Galicia,Spain,West,West,X2HN,2018,spring,y,1,4,2988464,2988,6610717,6611,0.4521,7.73E+11,773004247,4.8263,0.0073,2.0795,3/18/18 12:00,05/05/2018 23:00,48.4583,77,125,-7.957,16.98867,43.32417,-1.29667
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,Galicia,Spain,West,West,X95N,2018,fall,y,6,6,2788167,2788,3090145,3090,0.9023,7.34E+11,733530705,5.911,0.0078,1.1924,09/09/2018 06:00,9/21/18 19:00,12.5417,252,264,-3.63392,41.48524,16.68288,-8.287
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,Galicia,Spain,West,West,X95P,2018,fall,y,1,1,3058447,3058,5116372,5116,0.5978,8.30E+11,830275884,5.1876,0.0111,1.7518,9/23/18 7:00,05/11/2018 19:00,43.5,266,309,-6.73996,39.0414,13.2379,-16.73452
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,Galicia,Spain,West,West,X95R,2016,fall,y,1,1,2928873,2929,4094112,4094,0.7154,1.08E+12,1082920964,4.1353,0.0097,1.6365,07/09/2016 07:00,01/10/2016 21:00,24.5833,251,275,-5.37578,43.25449,16.87701,-3.54849
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,Galicia,Spain,West,West,X9FH,2017,fall,y,1,1,2984699,2985,5034566,5035,0.5928,9.60E+11,960174519,4.7019,0.0125,1.9109,08/10/2017 00:00,11/21/17 23:00,44.9583,281,325,-6.81,39.65686,14.57025,-16.92398
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Galicia,Galicia,Spain,West,West,X9FJ,2017,fall,y,1,1,2891366,2891,5195569,5196,0.5565,7.82E+11,781592610,4.5984,0.0106,1.7568,12/08/2017 08:00,9/18/17 20:00,37.5,224,261,-6.84508,42.48742,16.47537,-4.79578
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75657,2007,fall,y,6,6,2811934,2812,4079989,4080,0.6892,8.36E+11,836458660,3.8082,0.0062,1.7338,08/09/2007 00:00,9/25/07 18:00,17.75,251,268,-0.57183,40.2505,17.087,-12.25217
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75657,2008,fall,y,6,6,2800208,2800,3442670,3443,0.8134,7.98E+11,798149388,3.539,0.0045,1.3585,02/09/2008 00:00,9/13/08 22:00,11.9167,246,257,-1.83033,40.8415,16.9805,-11.18033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75657,2008,spring,y,6,6,2939258,2939,3569267,3569,0.8235,7.34E+11,734425808,3.9399,0.0041,1.5411,01/03/2008 01:00,3/14/08 21:00,13.8333,61,74,-14.39833,16.8235,40.8415,-1.83033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75657,2009,fall,y,6,6,2824551,2825,3712916,3713,0.7607,9.35E+11,934683501,4.9758,0.0055,2.0796,9/15/09 0:00,01/10/2009 20:00,16.8333,258,274,-1.83483,40.85,17.11683,-12.2715
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75657,2009,spring,y,6,6,2943446,2943,3487634,3488,0.844,5.23E+11,523445195,5.7391,0.0055,1.4811,2/23/09 1:00,3/17/09 23:00,22.9167,54,76,-14.04583,16.639,40.8415,-1.83033
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75657,2010,fall,y,6,6,2829989,2830,3534353,3534,0.8007,8.25E+11,825269066,4.3058,0.0057,2.0926,10/09/2010 02:00,9/24/10 22:00,14.8333,253,267,-1.97833,40.82333,17.05433,-12.44533
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75657,2010,spring,y,6,6,2919417,2919,3499175,3499,0.8343,8.22E+11,822230465,4.9565,0.0062,1.4206,03/03/2010 01:00,3/24/10 17:00,21.6667,62,83,-13.82483,16.742,40.82667,-1.90233
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valencia,Valencia,Spain,West,West,A75657,2011,fall,y,6,6,2826527,2827,3426768,3427,0.8248,8.13E+11,813462247,3.9988,0.0054,1.7473,05/09/2011 00:00,9/16/11 22:00,11.9167,248,259,-1.83617,40.85017,16.8605,-11.56333
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
