(Intercept),factor(subpopulation),factor(season),factor(agemigr),df,logLik,AIC,delta,weight,variable
8.197634773345,+,,,6,152.064008676551,-292.128017353101,0,0.982333091036173,totaldistkm
8.19359345473148,+,+,,7,149.045652964729,-284.091305929458,8.03671142364323,0.0176648137197081,totaldistkm
8.16234173202151,+,,+,11,143.992389807476,-265.984779614952,26.1432377381488,2.0669350489001e-06,totaldistkm
8.1620089055292,+,+,+,12,140.701749917074,-257.403499834148,34.7245175189528,2.83090699405878e-08,totaldistkm
8.08053463674716,,,,4,111.355611151464,-214.711222302928,77.416795050173,1.5185018506598e-17,totaldistkm
8.07719776255254,,+,,5,108.196257531358,-206.392515062717,85.7355022903844,2.37154298096184e-19,totaldistkm
8.05998864251124,,,+,9,103.199000766994,-188.398001533989,103.730015819112,2.93475624211161e-23,totaldistkm
8.06003699462901,,+,+,10,100.008226708876,-180.016453417752,112.111563935349,4.44162599995393e-25,totaldistkm
8.61543175962197,+,+,,7,71.3227798933287,-128.645559786657,0,0.996103871639482,cumulativedistkm
8.62264387376428,+,+,+,12,70.2039703471624,-116.407940694325,12.2376190923327,0.00219249901230315,cumulativedistkm
8.65341950087738,+,,,6,63.9435804280343,-115.887160856069,12.7583989305889,0.00168987079888251,cumulativedistkm
8.62653653716584,+,,+,11,64.1328334739532,-106.265666947906,22.379892838751,1.37585493327463e-05,cumulativedistkm
8.27783152779301,,+,,5,7.41533664426687,-4.83067328853375,123.814886498124,1.29492208036231e-27,cumulativedistkm
8.31227491910995,,,,4,0.545396815064024,6.90920636987195,135.554766156529,3.65562096529249e-30,cumulativedistkm
8.33401583868479,,+,+,10,3.2811211176062,13.4377577647876,142.083317551445,1.39734690248643e-31,cumulativedistkm
8.33388735530467,,,+,9,-3.72023771230082,25.4404754246016,154.086035211259,3.45897332489134e-34,cumulativedistkm
39.4560219208122,+,+,+,12,-719.586192280484,1463.17238456097,0,0.998709462252393,durationdays
39.6806233015948,+,,+,11,-727.47852208825,1476.9570441765,13.7846596155314,0.00101423445866837,durationdays
33.9600009929683,,+,+,10,-729.779579710082,1479.55915942016,16.3867748591952,0.000276118951663488,durationdays
33.9932941766788,,,+,9,-738.092584229977,1494.18516845995,31.0127838989852,1.84119042080667e-07,durationdays
30.7582926510392,+,+,,7,-746.847478905494,1507.69495781099,44.5225732500205,2.14528612205903e-10,durationdays
32.4720542319048,+,,,6,-751.908998285664,1515.81799657133,52.6456120103608,3.69479007505358e-12,durationdays
23.2327474632707,,+,,5,-758.891084322935,1527.78216864587,64.6097840849018,9.32401174897177e-15,durationdays
24.859288328424,,,,4,-764.231781621075,1536.46356324215,73.2911786811817,1.21468013177763e-16,durationdays
0.674115235658524,+,+,,7,154.413222288633,-294.826444577266,0,0.997862655935834,straightness
0.651025604628353,+,,,6,147.230860100217,-282.461720200435,12.3647243768316,0.00206112810999984,straightness
