ID,total distance,cumulative distance,straightness,msd,intensity use,sinuosity,tac,start,end,time duration (days),julian_start,julian_end
X2HN_2015_fall,3031461.9722434,4371053.0025581,0.693531277353369,1005591679342.59,3.76884418360882,0.00171894522593908,4.09070609360279e-07,2015-09-10 10:00:00,2015-10-14 11:00:00,34,253,287
X2HN_2018_fall,2771493.39376255,3090878.94933095,0.896668371423109,1077012388588.82,3.55196156549183,0.000401343271079524,3.38780110734925e-07,2018-09-01 11:00:00,2018-09-22 00:00:00,21,244,265
X2HN_2018_spring,2870970.88907773,5678780.18445469,0.50556119374665,835751093456.599,4.26501750362195,0.000511034295451982,5.3794676680926e-07,2018-03-18 12:00:00,2018-05-05 11:00:00,48,77,125
X95N_2018_fall,2779928.03252622,2831732.59907073,0.981705699697241,749489934187.51,6.81044983931273,0.000358027210904409,2.61085582824449e-09,2018-09-09 06:00:00,2018-09-21 07:00:00,12,252,264
X95P_2018_fall,3051714.99627649,4086360.40590713,0.746805150095185,824845864540.9,4.31497638169574,0.000599908293270043,6.22334932715814e-07,2018-09-23 07:00:00,2018-11-05 06:00:00,43,266,309
X95R_2016_fall,2928774.78166072,3707906.57321639,0.78987286325291,1054132369340.78,3.91011830231553,0.000461391778440341,5.00354308187832e-08,2016-09-07 07:00:00,2016-10-01 07:00:00,24,251,275
X9FH_2017_fall,3020668.65805136,3791979.83881734,0.796594071289541,985099348825.428,3.70976263486834,0.000134732424902978,5.29207149954496e-07,2017-10-08,2017-11-21,44,281,325
X9FJ_2017_fall,2845527.32511276,3927527.19853995,0.724508623688356,758900259222.36,3.55670017731541,0.000320337846659351,6.24856942008334e-07,2017-08-12 08:00:00,2017-09-18 07:00:00,37,224,261
A75657_2007_fall,2798595.18024301,3626489.12726375,0.771709243301827,774282245327.414,3.65720540940731,0.000126899044812887,7.7056455806381e-08,2007-09-08,2007-09-25,17,251,268
A75657_2008_fall,2800207.69060157,3200661.38237131,0.874884080529302,888472884645.236,3.35979559786218,0.000632093439960106,1.07550940202729e-08,2008-09-02,2008-09-13,11,246,257
